Time	UTC	GPS_lat(deg)	GPS_long(deg)	CBF:psi_ref	CBF:omega_safe
92.942	14:18:43.196	37.196213879	-3.620477860	0.,0.	0.
93.192	14:18:43.446	37.196210916	-3.620468690	0.,0.	0.
93.442	14:18:43.696	37.196209364	-3.620464060	0.,0.	0.
93.692	14:18:43.946	37.196209364	-3.620464060	0.,0.	0.
93.942	14:18:44.196	37.196209364	-3.620464060	0.,0.	0.
94.192	14:18:44.446	37.196209364	-3.620464060	0.,0.	0.
94.442	14:18:44.696	37.196203968	-3.620446953	0.,0.	0.
94.692	14:18:44.946	37.196203968	-3.620446953	0.,0.	0.
94.942	14:18:45.196	37.196201322	-3.620441971	0.,0.	0.
95.192	14:18:45.446	37.196200264	-3.620438488	0.,0.	0.
95.442	14:18:45.696	37.196199276	-3.620433858	0.,0.	0.
95.692	14:18:45.946	37.196199276	-3.620433858	0.,0.	0.
95.942	14:18:46.196	37.196197548	-3.620425172	0.,0.	0.
96.192	14:18:46.446	37.196197548	-3.620425172	0.,0.	0.
96.442	14:18:46.696	37.196195326	-3.620420101	0.,0.	0.
96.692	14:18:46.946	37.196193527	-3.620416265	0.,0.	0.
96.942	14:18:47.196	37.196191799	-3.620413002	0.,0.	0.
97.192	14:18:47.446	37.196190000	-3.620410048	0.,0.	0.
97.442	14:18:47.696	37.196187636	-3.620407006	0.,0.	0.
97.692	14:18:47.946	37.196187636	-3.620407006	0.,0.	0.
97.942	14:18:48.196	37.196182769	-3.620400348	0.,0.	0.
98.192	14:18:48.446	37.196180229	-3.620396952	0.,0.	0.
98.442	14:18:48.696	37.196180229	-3.620396952	0.,0.	0.
98.692	14:18:48.946	37.196180229	-3.620396952	0.,0.	0.
98.942	14:18:49.196	37.196171375	-3.620389632	0.,0.	0.
99.192	14:18:49.446	37.196171375	-3.620389632	0.,0.	0.
99.442	14:18:49.696	37.196171375	-3.620389632	0.,0.	0.
99.692	14:18:49.946	37.196161534	-3.620382621	0.,0.	0.
99.942	14:18:50.196	37.196158465	-3.620381607	0.,0.	0.
100.192	14:18:50.446	37.196155220	-3.620380460	0.,0.	0.
100.442	14:18:50.696	37.196151622	-3.620378564	0.,0.	0.
100.692	14:18:50.946	37.196151622	-3.620378564	0.,0.	0.
100.942	14:18:51.196	37.196143755	-3.620376844	0.,0.	0.
101.192	14:18:51.446	37.196140157	-3.620376976	0.,0.	0.
101.442	14:18:51.696	37.196140157	-3.620376976	0.,0.	0.
101.692	14:18:51.946	37.196140157	-3.620376976	0.,0.	0.
101.942	14:18:52.196	37.196127952	-3.620379357	0.,0.	0.
102.192	14:18:52.446	37.196127952	-3.620379357	0.,0.	0.
102.442	14:18:52.696	37.196120544	-3.620382046	0.,0.	0.
102.692	14:18:52.946	37.196117404	-3.620384515	0.,0.	0.
102.942	14:18:53.196	37.196117404	-3.620384515	0.,0.	0.
103.192	14:18:53.446	37.196117404	-3.620384515	0.,0.	0.
103.442	14:18:53.696	37.196117404	-3.620384515	0.,0.	0.
103.692	14:18:53.946	37.196117404	-3.620384515	0.,0.	0.
103.942	14:18:54.196	37.196108972	-3.620403607	0.,0.	0.
104.192	14:18:54.446	37.196108549	-3.620407575	0.,0.	0.
104.442	14:18:54.696	37.196108549	-3.620407575	0.,0.	0.
104.692	14:18:54.946	37.196108549	-3.620407575	0.,0.	0.
104.942	14:18:55.196	37.196108549	-3.620407575	0.,0.	0.
105.192	14:18:55.446	37.196109536	-3.620424596	0.,0.	0.
105.442	14:18:55.696	37.196109888	-3.620428785	0.,0.	0.
105.692	14:18:55.946	37.196109888	-3.620428785	0.,0.	0.
105.942	14:18:56.196	37.196109888	-3.620428785	0.,0.	0.
106.192	14:18:56.446	37.196109888	-3.620428785	0.,0.	0.
